normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_sideways_fenwick
0.032114, 0.034033, 0.030248, 0.030131, 0.041298, 0.041895, 0.038366, 0.029852, 0.028997, 0.029235, 0.029204, 0.016256, 0.023344, 0.019772, 0.024796, 0.024231, 0.023288, 0.024181, 0.030198, 0.033058, 0.030187
0.032235, 0.03389, 0.030419, 0.030151, 0.041328, 0.041886, 0.038468, 0.029727, 0.02899, 0.029232, 0.029175, 0.016255, 0.023349, 0.019778, 0.024771, 0.024257, 0.023123, 0.024122, 0.02876, 0.032971, 0.029914
0.032262, 0.033927, 0.030428, 0.031237, 0.041251, 0.041912, 0.038438, 0.029763, 0.029008, 0.029248, 0.029192, 0.016309, 0.023425, 0.019772, 0.024787, 0.024238, 0.023128, 0.02404, 0.029476, 0.03291, 0.029648
0.032283, 0.033491, 0.030476, 0.030944, 0.041444, 0.041919, 0.038412, 0.029747, 0.02898, 0.029305, 0.029192, 0.016307, 0.023302, 0.019775, 0.024761, 0.024219, 0.02312, 0.024072, 0.02945, 0.033369, 0.029939
0.03204, 0.033738, 0.030254, 0.030839, 0.041205, 0.041779, 0.038434, 0.029754, 0.028959, 0.029262, 0.029169, 0.016254, 0.023341, 0.019772, 0.02475, 0.024199, 0.023166, 0.024145, 0.030256, 0.032331, 0.029875
0.032204, 0.033546, 0.030353, 0.030942, 0.042045, 0.041856, 0.038504, 0.030396, 0.028954, 0.029235, 0.029196, 0.016391, 0.023366, 0.019785, 0.024741, 0.024232, 0.023123, 0.024107, 0.029711, 0.0327, 0.029639
0.032521, 0.033557, 0.03041, 0.030963, 0.04135, 0.041886, 0.038486, 0.029758, 0.029003, 0.029231, 0.029228, 0.016256, 0.023349, 0.019773, 0.02476, 0.024224, 0.035901, 0.024109, 0.029286, 0.032866, 0.029538
0.031973, 0.03359, 0.030372, 0.030703, 0.041322, 0.041866, 0.03836, 0.029732, 0.028947, 0.029242, 0.029191, 0.016271, 0.023363, 0.019929, 0.024744, 0.024231, 0.023137, 0.02409, 0.028801, 0.032887, 0.029667
0.032291, 0.033666, 0.03037, 0.030755, 0.04131, 0.041875, 0.038337, 0.029742, 0.028962, 0.029267, 0.029189, 0.016268, 0.023375, 0.019775, 0.024738, 0.024223, 0.023425, 0.024146, 0.029486, 0.0328, 0.030222
0.032215, 0.034212, 0.030422, 0.030697, 0.041121, 0.041863, 0.038368, 0.029761, 0.029007, 0.029285, 0.02919, 0.016313, 0.023316, 0.019772, 0.024735, 0.024259, 0.023154, 0.024211, 0.029449, 0.032693, 0.030104
0.032092, 0.033722, 0.030234, 0.030517, 0.041323, 0.041979, 0.038397, 0.029713, 0.028968, 0.029233, 0.029224, 0.016256, 0.023391, 0.019772, 0.02473, 0.02422, 0.023128, 0.024073, 0.029141, 0.032861, 0.029839
0.054505, 0.033641, 0.029574, 0.030131, 0.041212, 0.041823, 0.038558, 0.029711, 0.028946, 0.029258, 0.02918, 0.016271, 0.023357, 0.020076, 0.02478, 0.02427, 0.023421, 0.024136, 0.029333, 0.032874, 0.029849
0.032248, 0.033705, 0.030388, 0.031058, 0.041198, 0.041877, 0.038349, 0.029848, 0.029009, 0.052243, 0.029196, 0.016253, 0.023404, 0.020417, 0.024768, 0.024216, 0.02315, 0.024137, 0.029484, 0.032683, 0.029824
0.032477, 0.034007, 0.030757, 0.030943, 0.041247, 0.041863, 0.038427, 0.02975, 0.028983, 0.02924, 0.029189, 0.016305, 0.023365, 0.019781, 0.024746, 0.024232, 0.023159, 0.024053, 0.029564, 0.033059, 0.029627
0.057103, 0.033687, 0.030157, 0.03013, 0.04137, 0.041834, 0.038394, 0.029739, 0.028997, 0.029354, 0.029188, 0.016312, 0.023401, 0.019869, 0.02474, 0.024213, 0.023422, 0.024187, 0.030015, 0.0328, 0.029646
